0000000000;4281965923
0000000001;4262035433
0000000002;4240543078
0000000003;4153156897
0000000004;4121199273
0000000005;4019129874
0000000006;3976262817
0000000007;3909277475
0000000008;3870076378
0000000009;3810440853
0000000010;3609069617
0000000011;3555533190
0000000012;3504295025
0000000013;3431644662
0000000014;3420377209
0000000015;3386877880
0000000016;3352507997
0000000017;3309771957
0000000018;3284272647
0000000019;3268095869
0000000020;3199534262
0000000021;3121810944
0000000022;3058891272
0000000023;3006024533
0000000024;2981178953
0000000025;2930680598
0000000026;2873858515
0000000027;2830734156
0000000028;2752610345
0000000029;2696053231
0000000030;2678857121
0000000031;2664804253
0000000032;2657625874
0000000033;2594453799
0000000034;2552004022
0000000035;2547046573
0000000036;2460314794
0000000037;2417887587
0000000038;2355850695
0000000039;2317676493
0000000040;2235928767
0000000041;2226160342
0000000042;2082746579
0000000043;2073541296
0000000044;2058654633
0000000045;2038600571
0000000046;2022241716
0000000047;2001633322
0000000048;1954083362
0000000049;1930103053
0000000050;1924134007
0000000051;1909950885
0000000052;1891580057
0000000053;1871742478
0000000054;1776850750
0000000055;1644288380
0000000056;1625417303
0000000057;1598972283
0000000058;1520361433
0000000059;1501754644
0000000060;1488938634
0000000061;1320627579
0000000062;1300609566
0000000063;1281376211
0000000064;1268330930
0000000065;1147737619
0000000066;1099585607
0000000067;1096365890
0000000068;1078552285
0000000069;1068481546
0000000070;1030278056
0000000071;0997313173
0000000072;0968440379
0000000073;0925874742
0000000074;0866119082
0000000075;0797135855
0000000076;0748800197
0000000077;0677234539
0000000078;0660916174
0000000079;0625795269
0000000080;0545705841
0000000081;0522575751
0000000082;0489292793
0000000083;0389111597
0000000084;0352369969
0000000085;0278247537
0000000086;0256673130
0000000087;0117840349
0000000088;0069660019
0000000089;0057940928
0000000090;0000000777
0000000000;0000000000
0000000000;0000000000
0000000000;0000000000
